征虜將軍,zhēnglǔ jiàngjūn (<>zhēnglǔjiāngjūn),(title) General to Campaign Against the Captives
征西將軍,zhēngxī jiàngjūn (<>zhēngxījiāngjūn),(title) General of the Western Campaign
徂,cú,"to go, to move"
後,hòu,"“after,” appears in the middle of sentences, between verbs. Here hòu is working together with the particle yú."
徐州,Xúzhōu,(place name)
徑,jìng,"directly, quickly"
徒跣,túxiǎn,barefooted
得,dé,to be able to; gains
從,cóng,from
御世,yùshì,to govern the world
微,wēi,subtle
徵,zhēng,"to recruit, to summon to service"
徵遣,zhēngqiǎn,dealt with (Hirakawa reconstructs 前已徵遣 as uktottara)
德山,Déshān,a.k.a. Déshān Cúndé 德山存德
徹,chè,to pierce
徹困,chèkùn,"to grow tired, to be exhausted; to trouble oneself with"
徽績,huījī,accomplishments
心切,xīnqiē (<>xīnqiè),"kind, attentive"
心境,xīnjìng,the mind and its object
心識,xīnshì,the mind and consciousness; the mind and its contents; mind and cognition
忍,rěn,"to tolerate, endure"
忍聽,rěntīng,approval and agreement
忙然,mángrán,"confused, at a loss"
念,niàn,"to think, to ponder"
忽,hū,suddenly
怒,nù,angry; anger
怖畏,bùwèi,"terror, fear"
思念,sīniàn,"think on, contemplate"
思慕,sīmù,"to aspire to, to admire"
思慮,sīlǜ,to think; cognition; thoughts
怨賊,yuànzéi,"despised bandit, thug"
恐畏,kǒngwèi,to fear
恒山,Héngshān,(place name)
恒遙,héngyáo,from afar
恒陽,Héngyáng,(place name)
恩,ēn,gratitude; kindness
恭敬,gōngjìng,to revere
息,xí (<>xī),"to end, to cease"
悉,xī,all
悔恨,huǐhèn,regret
悔過,huǐguò,to confess
患,huàn,"illness, calamity"
悲恨,bēihèn,"sorrow and ire, emotion"
悶,mèn,"trouble, problems"
悶絕,mēnjué (<>mènjué),"unconsciousness, fainting (Skt. mūrchana)"
情境,qíngjìng,feelings
惛,hūn,"to be confused, befuddled"
惡,è,"bad, evil"
惱亂,nǎoluàn,"to disturb, to trouble"
惱患,nǎohuàn,"troubles, difficulties"
愁,chóu,"to grieve, to lament"
愍,mǐn,"to pity, to empathize"
愕然,èrán,"stunned, astonished"
愚,yú,foolish
愚心,yúxīn,(humilific) my foolish mind
愛著,àizhuó (<>àizhe),desire and attachment; the bondage of desire
愜,qiè,"to be satisfied, to be convinced"
感,gǎn,"to inspire, to cause; to move (emotionally)"
感,hàn (<>gǎn),"to express dissatisfaction, to lament, to complain; (usually read gǎn)"
慨,kǎi,"to lament, to sigh"
愧,kuì,shame
愧服,kuìfú,ashamed and convinced
慇懃,yīnqín,sincerity
慕,mù,"to aspire to, to admire"
慕容俊,Mù Róngjùn,(person's name)
慞惶,zhānghuáng,"flustered, in a panic"
慢,màn,"to slight, to neglect"
慧,huì,"Wisdom, insight"
慧遠,Huìyuǎn,(monk's name)
慮,lǜ,"worry; anxiety, consideration, deliberation"
慶,qìng,"happiness, good fortune"
慶雲,qìngyún,"auspicious clouds, favorable clouds"
憂惱,yōunǎo,anguish
憂慼,yōuqī,worries and sadness
憎,zēng,"to hate, to despise"
憒閙,kuìnào,"hubub, noise"
憒鬧,kuìnào,"commotion, hubbub"
憚,dàn,to fear
憲章,xiànzhāng,"set of rules, laws"
憶念,yìniàn,"to remember; to remind (someone to do something), to nag"
應,yìng (<>yīng),in response to
應真,yìngzhēn (<>yīngzhēn),"'Response to the True' (a translation of arhat)"
懲惡,chéng'è,"to punish the bad, to admonish evil"
懷,huái,to harbor
懷,huái,"to harbor, to feel"
懸,xuán,"(though) distant, separate"
𢤱悷,lǒnglì (<>lǒngsàn),"unruly, obstreperous"
懼,jù,"terror, fear"
懼然,jùrán,frightened
懿戚,Yìqī,(person's name)
戀,liàn,"to be attached to, to feel affection for"
戈,gé (<>gē),halberd
戊辰改正,wǔchén gǎizhèng,Proclaiming a new reign era in the wuchen year
成,chéng,"to complete, to accomplish"
成住壞空,chéng zhù huài kōng,"formation, continuation, destruction and emptiness; or, formation, existing, decay and disappearance"
成就,chéngjiù,"complete, accomplish; accomplished, completed"
我,wǒ,"I, me, mine"
戒,jiè,precepts; morality; (Skt. śīla)
戒賢,Jièshóu (<>jièxián),Śīlabhadra
或,huò,"it may be, perhaps; at times"
截,jié,"to chop, to cut"
戱,xì,"funny, playful, absurd, fanciful, frivolous"
戱,xì,"funny, playful, absurd, fanciful"
戲弄,xì’nòng (§§xìnòng),"to sport with, play with"
所,suǒ,"place, location"
所緣,suǒyuán,objects of perception
手,shǒu,hand
打,dǎ,"to hit, to strike"
扶柳,Fúliǔ,(place name)
扶策,fúcè,"to support, to prop up"
承露盤,chénglùpán,"plate for collecting dew, dew receptacle"
承風,chéngfēng,"to receive instruction, to be persuaded"
技術,jìshù,techniques
抁伏,yǎnfú,"to vanquish, to conquer"
抁威,yǎnwēi,exert your majesty
投,tóu,"to stop, to stay"
披衣,pīyī,"to drape; to don, to wear a robe"
抱,bào,"to hold, embrace"
拄,zhǔ,"to lean on, support oneself with"
拈掇,niānduó (<>niānduō),to lift
拋,pāo,to throw
拍掌,pāizhǎng,to clap one’s hands; to slap
拓開,tuòkāi (<>tàkāi),to open up; to free oneself; to let go
拖抴,tuōyè,"to wrench, to drag, to pull"
拘薩羅,Jūsàluó,(Skt.) Kośala (place name)
拳,quán,"fist, blow"
指歸,zhǐguī,"import, essential meaning, reference point"
挫銳,cuòruì,"to blunt; to vanquish, to defeat"
捉,zhuō,"to seize, to apprehend"
捋,luō (<>lǚ),"to pinch, to push"
捋,lǚ,to stroke; to pluck
捍債,gǎnzhài (<>hànzhài),to owe a debt
捨,shě,"to cast aside, to abandon"
授,shòu,to give
掌,zhǎng,to slap
掖,yè (<>yē),"underarm, beneath the arms"
探撮,tàncuò (<>tàncuō),to pick up
掣,chè,"to grab, to pull"
掣,chè,"to pull, to rip"
接,jiē,"to greet, to receive; guide"
接引,jiēyǐn,"to guide, to lead"
推尋,tuīxún,"examine, investigate"
推尋,tuīxún,"to push further, to examine further"
揆,kuí,"pattern, principle"
揩磨,kāimó,"to grind, to scrape"
揵度,jiàndù (<>qiándù),"(Skt.) skandhaka, collection of rules"
搊住,chōuzhù,to grab hold
搏,bó,"to hit, to strike"
摩尼,móní,the mani jewel
摩納,mónà,"Apparently a type of high quality cloth. Nakamura (Bukkyōgo daijiten, p.1280), based on a reference in the Platform Scripture, states that this type of robe was made in Korea. That the robe was given the name mānava, which means “young boy” in Sanskrit, is puzzling."
摩訶波闍波提,Móhēbōshébōtí (<>móhēbōdūbōtí),(Skt.) Mahāprajāpatī (name of the Buddha’s aunt)
摩訶衍,móhēyǎn,(Skt.) Mahāyāna
摩那埵,mònàduǒ (<>mónàduǒ),"(Skt.) mānatva, confession (more precisely the joy produced through confession)"
撥,bō,to point
撲,pū,"to beat, to strike, to push"
擊,jī,to strike
擊意,jīyì,"to inspire ideas, to arouse thoughts"
擎,qíng,"to take, to give"
擬,nǐ,"to plan to, to intend to"
擬,nǐ,"to forge, to make; to intend to, to propose to"
攀,pān,to grab onto; to climb
攜,xié,to lead
攝,shè,"to gather, to amass"
攝,shě (<>shè),"encompass, include; evoke"
支曇,Zhī Tán,(name of monk)
放牧,fàngmù,"grazing, raising of animals"
放逸,fàngyì,"to relax, to be at ease"
啟,qǐ,"to report to, to approach (a superior)"
敏見,Mǐnjiàn,(monk's name)
救護,jiùhù,"to save, to rescue"
敗,bài,"to deteriorate, to become corrupt"
敘,xù,"explanation, narrative, story"
教,jiào,teaching
教授,jiàoshòu,instructor; instruction
教門,jiàomén,"teachings, doctrines"
散手,sànshǒu,to separate the hands
敷,fū,"to put out, to prepare"
數,shù,"number; to be among the number, to belong to the category of"
文,wén,literary; literature
斗,dǒu (<>dòu),"(a unit of measure), a bucket"
斗,dǒu (<>dòu),peck (measure for grain)
斛,hú,(type of vessel)
斛,hú,(a measure) bushel
斥,chì,"to criticize, to condemn"
斧,fǔ,hatchet
斫,zhuó,to cut
斬,zhǎn,to execute (either beheading or severing at the waist)
新州,Xīnzhōu,(place name)
新野,Xīnyě,(place name)
斷,duàn,to cut off
方口食,fāngkǒushí,lit. ‘eating by means of wandering the [four] directions’ (i.e. bullying or sycophancy)
方外,fāngwài,beyond the world
於,yú,"(preposition) in, at; a preposition [multi-purpose particle] which can be used for space (i.e. “at”) or, as here, for time."
施,shī,"to give, to donate, to bestow alms; charity"
旋踵,xuánzhǒng,"lit. a single step, a short period of time"
旦,dàn,dawn
旨,zhǐ,"essence, essential doctrine"
旨,zhǐ,"ultimate meaning, essence"
旱蝗,hànhuán (<>hànhuáng),"“drought and locusts”, i.e. natural disasters"
昂,áng,high
昇階,shēngjiē,ascend the stairs
明,míng,brightness
是,shì,to be; this; thus
時,shí,time
時到,shídào,deems it timely
時節,shíjié,time period
晉,Jìn,Jin Dynasty (265-420)
普,pǔ,"universally, all"
普請,pǔqǐng,general call (to monastic labor); communal labor
景龍,Jǐnglóng,"(era name, 707-710)"
智光,Zhìguāng,Jñānaprabha
智慧,zhìhuì,wisdom; wisdom and insight
智斷,zhìduàn,"wisdom and “elimination,” the accurate cognition which eliminates the afflictions"
暴,bào,violent
暴風,bàofēng,storm
曇摩難提,Tánmónántí,(name of monk)
曇摩須菩提,Tánmóxūpútí,Dharmasubhūti (his name is translated as 法善現; this is a transliteration)
曉,xiǎo,sunrise
曙,shǔ,daybreak
曰,yuē,to say
更,gēng (<>gèng),"“watch” (a marker of time: the night was divided into five watches, each about two hours long, with the middle of the third watch at midnight)"
書數,shūshù,mathematics; bookkeeping
曹門,Caómén,"(place name, the Cao Gate)"
曾,céng,"once, ever"
會,huì,understand
會稽,Kuàijī (<>guìjī),(place name)
有,yǒu,"to have, to possess"
有情,yǒuqíng,sentient being
有漏,yǒulòu,to have outflows (actions that produce karma)
有為,yǒuwéi,action; conditioned action
有頃,yǒuqīng (<>yǒuqǐng),"presently, after a time"
朕躬,zhèngōng,"me, I (used by ruler)"
木樁,mùzhuāng,"wooden pestle; here, log"
未,wèi,not yet
朱,zhū,vermilion
朱序,Zhū Xù,(person's name)
東,dōng,east
東山,Dōngshān,(place name) Eastern Mountain (where Dàoxìn and Hóngrěn taught)
東苑,Dōngyuàn,(place name)
析疑,xīyí,to analyze
枕,zhěn,"pillow; to rest against, to lean against"
林百升,Lín Bǎishēng,(person's name)
林藤,línténg,"forest creepers, forest vines; vegetation"
枚,méi,(measure word for fruit)
果,guǒ,"in fact, indeed"
果,guǒ,fruit; reward; result
枝,zhī,branches
枯骨,kūgǔ,dried bones
某甲,mǒujǐa (<>mǒujiǎ),I; me
某甲,mǒujiǎ,so-and-so
染色,rǎnsè,(v) to dye; (n) coloring.
柔軟,róuruǎn,"supple, soft"
栴檀,zhāntán,"(Skt.) candana, sandalwood"
根境,gēnjìng,(sense) organs and (sense) objects
根機,gēnjī,"faculties, spiritual capacity, potential"
案行,ànxíng,to conduct a tour of inspection
桓朗子,Huán Lǎngzǐ,(person's name)
條狀,tiáozhuàng,"case history, documentation"
條疏,tiáoshū,to report one by one
梨,lí,pear
梵王界,Fànwángjìe,Realm of King Brahma (Heaven)
棄捨,qìshě,"to abandon, to cast aside"
棄蓋,qìgài,lit. abandoning the coverings; discarding hindrances
棒,bàng,"baton, stick, cane; to strike a blow"
棲神,qīshén,to rest one's spirit
棲遲,qīchí,"to stay, to lodge"
楊州,Yángzhōu,(place name)
楊弘忠,Yáng Hóngzhōng,(person's name)
楚毒,chǔdú,torture; suffering
業,yè,karma
業力,yèlì,power of karma
業報,yèbào,karmic retribution
極果,jíguǒ,"ultimate fruit, final result, perfect enlightenment"
樊沔,Fán Miǎn,(person's name)
標,biāo,"to indicate, to include, to mention"
標朗,biāolǎng,to exude clarity
橋樑,qiáoliáng,bridge
橫梁,héngliáng,to measure
檀越,tányuè,"(Skt.) dānapati, donor"
檀越,tányuè,"dānapati, donor, benefactor (here, “you”)"
欄檻,lánjiàn (<>lánkǎn),bannisters
權翼,Quán Yì,(person's name)
權設,quánshè,"provisionally establish, postulate provisionally"
次,cì,"while, when (a vernacular usage, must be post-positioned)"
次嬸母,cìshěnmǔ,"secondary aunt (I can't find a gloss for this term in dictionaries, but 次妻 is a concubine, so perhaps 次嬸母 is the concubine of an uncle)."
欣,xīn,"joy, happiness, excitement"
欣悅,xīnyuè,"to be pleased, delighted, happy"
欣慕,xīnmù,to admire
欲,yù,"to want, to desire"
欲邪行,yùxiéxíng,indulging in sensual pleasures (one of the ten types)
欵曲,kuǎnqū,"earnestly, sincerely"
欽,qīn,"to respect, to admire"
歌詠,gēyǒng,singing
歛手,liǎnshǒu (<>hānshǒu),"to bring hands together, to clasp the hands"
止息,zhǐxí (<>zhǐxī),"to cease, to put a stop to"
正命,zhèngmìng,correct livelihood
正法眼藏,zhèngfǎ yǎnzàng (<>zhèngfǎyǎncáng),the repository of the true Dharma eye (that is the essence of the Dharma)
此,cǐ,"this, these"
步涉,bùshè,to walk
步騎,bùqí,infantry and cavalry
武城,Wǔchéng,(place name)
武邑,Wǔyì,(place name)
歲,suì,years
歷觀,lìguān,to look one by one
歸順,guīshùn,"to surrender, to give in, to be in accordance with"
殃,yāng,"disaster, adversity"
殊好,shūhào (<>shūhǎo),"marks, characteristics"
殊錯,shūcuò,"mixed, jumbled"
殊體,shūtǐ,"lit. different bodies, different natures"
殞首,yǔnshǒu,to be destroyed
殷富,yīnfù,"prosperity, richness"
毀辱,huǐrù (<>huǐrǔ),"to humiliate, ruin"
毋,wú,do not; no
母,mǔ,mother
每,měi,"every, each; often, frequently"
毒,dú,poison
比,bǐ,originally
比丘,bǐqiū,bhikṣu
比丘尼,bǐqiūní,(Skt.) bhikṣuṇī
比丘尼僧,bǐqiūnísēng,(Skt.) bhikṣuni monastic; nun
比來,bǐlái,recently; previously
毘婆尸,Pípóshī,(Skt.) Vipaśyin (a Buddha of the Past)
毘婆沙,pípóshā,"(Skt.) vibhāṣā; alternative, different interpretation"
民戶,mínhù,"the people, the common folk"
氣,qì,"breath, vapor"
水官,shuǐguān,Office of Waterways
氷,bīng,ice
汝,rǔ,you
江湄,Jiāngméi,(place name)
江陵,Jiānglíng,(place name)
汧隴,Qiānlǒng,(place name)
汲,jí,to draw (water)
決定,juédìng,definitive; to decide
沈沒,shěnmò (<>chénmò),to sink
沈沒,chénmò,"sink; indulge, lost in"
沙,shā,sand
河,hé,river
沸,fèi,"bubbling, boiling"
油影刀,yóuyǐngdāo,lit. “oil shadow blade” (evidently a kind of knife or sword named “greased shadow”).
治,zhì,"to rule, to govern, to administer; to punish"
治生,zhìshēng,"to make a living, to support oneself"
沿流,yánliú,to follow the stream
況,kuàng,how much more...
法,fǎ,"law, Skt. dharma"
法和,Fǎhé,(monk's name)
法和,Fǎhé,(monk's name)
法善現,Fǎshànxiàn,"Dharmasubhūti. This monk is quoted elsewhere in the Abhidharmakośa, but remains obscure. This may be another name for Aśvaghoṣa. References in Louis de la Vallée Poussin (Leo M. Pruden trans.), Abhidharmakośa Bhāṣyam (Berkeley: Asian Humanities Press, 1991), p.534, fn.411."
法喜,fǎxǐ,"bliss of the Dharma, bliss of the Law"
法爾,faěr (§§fǎěr),"inherently, according to rule (Skt. dharmatā)."
法相,fǎxiàng (<>fǎxiāng),"characteristics of the Dharma, the teachings; characteristics of phenomena"
法相,fǎxiàng (<>fǎxiāng),phenomenal appearances
法華經,Fǎhuājīng (<>fǎhuájīng),"The Lotus sūtra, The Dharma Blossom Scripture"
法蘭,Fǎ Lán,(monk's name)
法遇,Fǎyù,(monk's name)
法駕,fǎjià,imperial carriage
波,bō,wave
泥洹,níhuán,nirvāṇa
泥犁,nílí,"niraya, hell"
洋洋濟濟,yángyáng jìjì (<>yángyángjǐjǐ),serene and orderly
洋銅,yángtóng,molten copper
洗沐,xǐmù,to wash
洛叉,luòchā,"lakṣa, lac (100,000, here apparently indicating number of yojana)"
洛陽,Luòyáng,(place name)
洞然,dòngrán,"ablaze, raging flames, burning hot"
津梁,jīnliáng,ford and bridge; guide
活,húo (§§huó),to live
流,liú,to flow
流淚,liúlèi,to weep
流輩,liúbèi,"type, ilk"
流轉,liúzhuǎn (<>liúzhuàn),"to transmigrate, to circulate"
流遁,liúdùn,"wandering, lost, dispersed"
浣,huàn,"to wash, to clean"
浮漂,fúpiāo,to float
海,hǎi,sea
海南,Hǎinán,(place name)
涅槃,nièpán,nirvāṇa
消,xiāo,molten
消滅,xiāomiè,"to destroy, to dispense with"
涌沸,yǒngfèi,to bubble and boil
涓涓,juānjuān,to flow; trickling
涕泣,tìqì,to cry
涼州,Liángzhōu,(place names)
淡,dàn,"bland, mild"
淨明,jìngmíng,pure brightness; clear and bright
淨潔,jìngjié,"pure, clean"
淨潔,jìngjíe (§§jìngjié),"purity, cleanliness"
淨潔,jìngjié,"clean, pure"
淨飯,Jìngfàn,"(personal name) Skt. Śuddhodana (translates śuddha, “pure” + odana, “boiled rice”)"
淪,lún,to sink
淮海,Huaíhǎi (§§huáihǎi),(place name)
深藏,shēncáng,deeply hidden (the alternate reading of 義 makes more sense)
淵,yuān,"abyss, deep water"
混沌,hùndùn,primordial chaos
淺,qiǎn,"superficial, shallow"
清河,Qīnghé,(place name)
清河,Qīnghé,(place name)
清淨,qīngjìng,pure
清虛,qīngxū,"pure, refined"
渡,dù,to cross
渰殺,yǎnshā,to drown
渴,kě,thirst
游刃,yóurèn,with ease
湯,tāng,hot liquid
湯,tàng (<>tāng),to burn (from hot liquid)
溈山,Wéishān,"(name of a monk, a.k.a. 溈山靈祐)"
溢漾,yìyàng,to overflow in profusion
溫,wēn,warm
滄海,cānghǎi,the great sea
滅盡定,mièjìndìng,"attainment of extinction, concentration of cessation (Skt. nirodha-samāpatti)."
滑稽,gǔjī (<>huájī),humorous
滓濁,zǐzhuó,sediment
滕,téng,(縢 = closed)
滯心,zhìxīn,to obstruct the mind
滿,mǎn,to fill
漆,qī,"lacquered, black"
漕溪,Cáoqī (<>cáoxī),(place name)
漸,jiàn,gradual
潛,qián,to hide
潛,qián,"in hiding, secretly"
潛契,qiánqì,"friendship, connection"
潛相,qiánxiàng (<>qiánxiāng),hidden signs
潰,kuì,"to be defeated, to be crushed"
澄,chéng,clear and still; limpid
澄治,chéngzhì,purification
激勸,jīquàn,"encouragement, incitement"
濕性,shīxìng,"wet nature, wetness, fluidity"
濟,jì,"to rescue, to save"
濩澤,Huòzé,(place name)
灌,guàn,to pour down the throat
灘頭,tāntóu,"shoal, sandbar, riverbank"
火塟,huǒzàng,cremation
灰,huī,ash
炎鑪,yánlú,fiery cauldron
為,wéi (<>wèi),"to be, is"
烟華,yīnhuá (<>yānhuá),sparks
無,wú,"not, none; normally indicates non-existence (often negating “to have” yǒu 有), meaning “there is no...” In these cases, it takes a noun as its object. It is also used in double negatives."
無上尊,wúshàngzūn,"without superior, exalted one"
無多子,wúduōzǐ (<>wúduōzi),"(colloquial expression) nothing much, not so much"
無想定,wúxiǎngdìng,"attainment of non-consciousness, concentration without thought (Skt. asaṃjñi-samāpatti)."
無數,wúshù,"without number, limitless"
無明,wúmíng,ignorance
無極,wújí,without limit
無漏,wúlòu,"no outflows, untainted, undefiled"
無為,wúwéi,non-action
無生,wúshēng,"non-arising, uncreated (equivalent to emptiness)"
無色界天,wǔsè jiètiān (<>wúsèjiètiān),The Heavens of the Formless Realm
無間,wújiān (<>wújiàn),"without interval, without interruption; (Skt.) Avīci."
無間,wújiān (<>wújiàn),unremitting sins (five kinds of evil acts that lead to rebirth in the Unremitting Hell)
無間業,wújiānyè (<>wújiànyè),unremitting karma (punishment for committing one of the five sins leading to Unremitting Hell).
焦,jiāo,"to burn, to scorch"
焰,yàn,flame
焰焰,yànyàn,to flicker
煮,zhǔ,"to boil, to cook"
煥炳,huànbǐng,"to shine, to sparkle"
照發,zhàofā,"to emit light, to shine"
熏習,xūnxí,"to perfume, to permeate; karmically conditioned predispositions"
熟,shú,cooked through
熢勃,péngbó,to billow
熱,rè,hot
熾,chì,"to burn fiercely, to rage"
熾,chì,to burn ragingly
燈,dēng,lamp
燋,jiāo,"to burn, to sear"
燋爛,jiāolàn,"lit. “burnt rotten,” burnt to a crisp, scorched"
燋爛,jiāolàn,burnt to a crisp
燎,liáo,to burn
燒,shāo,to burn
燒炙,shāozhì,to burn
營,yíng,"to request, to ask for"
爐,lú,"to forge, to smelt"
爛,làn,to putrefy; to be smashed to a pulp
爪,zhǔa (<>zhǎo),claws
爭,zhēng,how (an interrogative like 怎)
爴,zhǔa (<>jué),to claw
父,fù,father
爾,ěr,that
牙齒,yáchǐ,teeth
物宗,wùzōng,"center of attention, focus of admiration"
牽,qiān,to pull
牽口山,Qiānkǒushān,(place name)
犲狼,cháiláng,"minks and wolves, jackals and wolves; ferocious, fierce"
狀,zhuàng,"attitude, manner"
狂,kuáng,"mad, insane"
狐狼,húláng,foxes and wolves
狐疑,húyí,to doubt
狠,hěn,"fierce, cruel"
猶尚,yóushàng,still; moreover
玄約,Xuányuē,(monk's name)
玄蹟,Xuánjī,"(monk's name, normally Xuánzé 玄賾)"
率,shuài (<>lǜ),to lead
王,wáng,king
王嘉,Wáng Jiā,(person's name)
王屋,Wángwū,(place name)
王莽,Wáng Mǎng,(name of a person)
珠珮,zhūpèi,pearly jewels
現行,xiànxíng,manifest
現見,xiànjiàn,"to see directly, immediately apparent"
理,lǐ,"reason, principle"
理勢,lǐshì,tendency
理懷,lǐhuái,reasonable disposition
理會,lǐhuì,conformity to reason; to comprehend
琰魔,Yǎnmó,Yama (personal name: the ruler of the hells)
瑞相,ruìxiàng (<>ruìxiāng),auspicious omen
環珮,huánpèi,"jade bangles, jade ornament"
瓦屋,wǎwū,"tiled houses, tiled roofs"
瓦礫,wǎlì,broken tiles
甄解,zhēnjiě,"to analyze, to explain"
甄陀羅,zhēntuóluó,(Skt.) kiṃnara
甘,gān,sweet
生,shēng,raw
生,shēng,to be born
生報,shēngbào,retribution in the next life
生民,shēngmín,the people
田舍,tiánshè,"field, farm"
由,yóu,"cause, reason"
由旬,yóuxún,(Skt.) yojana (a unit of length)
由藉,yóujiè (<>yóují),"foundation, font"
界地,jièdì,realms
畜,xù (<>chù),"to keep, to own, to possess"
畜生,chùshēng,"beasts, animals"
畢,bì,to end
略,lüè,"partly, to a certain extent"
異典,yìdiǎn,"lit. extraordinary works, the classics"
異熟,yìshú,"(Skt. vipāka), maturation; retribution"
異相,yìxiàng (<>yìxiāng),unusual sign
疋,pǐ,(measure word for cloth) bolt
疏記,shùjì (<>shūjì),to meticulously record
疾,jí,"sickness, disease"
瘃,zhú,frozen solid
癲,diān,"madness, insanity"
發露,fālù,"to expose, to reveal"
白,bái,white; to address
百,bǎi,hundred
百里城,bǎilǐchéng,the Hundred Li City (a term that appears only in this story)
皂,zào,black
的的,dídì (<>dede),"true, actual"
皆,jiē,all
皮,pí,skin
盡,jìn (<>jǐn),"to end, to exhaust; completely"
監,jiān,Director
盧,Lú,(surname)
盧歆,Lú Xīn,(person's name)
直殿,zhídiàn,to administer the hall
相,xiāng,mutually
相師,xiàngshī (<>xiāngshī),"fortune teller, master of physiognomy"
相持,xiāngchí,to struggle against each other
相為,xiāngwéi (<>xiāngwèi),"to help, to offer assistance"
相續心,xīangxùxīn (§§xiāngxùxīn),"continuity of mind, stream of mind; here: thought of continuing (the offenses)"
相輪,xiànglún (<>xiānglún),discs (at the top of a stupa)
省方,xǐngfāng (<>shěngfāng),to carry out an inspection
眉,méi,eyebrows
真,zhēn,true
真丹,zhēndān,China (Cīnisthāna)
真照,zhēnzhào,true radiance
真靈,zhēnlíng,true and numinous
眼,yǎn,eye
眾,zhòng,assembly
眾生,zhòngshēng,all beings
睦州,Mùzhōu,"(personal name, a.k.a. Chén Zūnsù 陳尊宿 [Elder Chen])"
瞋忿,chēnfèn,"anger, wrath"
瞋恚,chēnhuì,"hatred; malice; hostility, anger (one of the ten types)"
瞎驢,xiālǘ,blind mule
瞻婆,zhānpó,"(Skt.) campaka, a fragrant yellow flower (Michelia Campaka)"
瞿曇彌,Qútánmí,(Skt.) Gautamī (name applied to the Buddha’s aunt)
矛,máo,spear
知,zhī,administrator of; to administrate
知識,zhīshì,"friends, acquaintances"
石,dàn,(measure word for grain equivalent to ten piculs; salary was paid in grain)
石,shí,stone
石虎,Shí Hǔ,(person's name)
石越,Shí Yuè,(person's name)
石越,Shí Yuè,(person's name)
石遵,Shí Zūn,(person's name)
破,pò,to refute
破,pò,broken; worn raw
破壞,pòhuài,"destroy, break"
碎,suì,to crush
碎,suì,"shatter, crush; mince"
磨,mò (<>mó),grind-stone
示,shì,"to show, to teach"
示滅,shìmiè,"to pass into extinction, to die (used for monks)"
社學,shèxué,local school
祇桓,Qíhuán,(Skt.) Jetavana
祇樹,Qíshù,"Jeta Grove, an abbreviation of 祇樹給孤獨園 (Skt. Jetavana Anāthapiṇḍada-ārāma), 樹 = grove"
祈禱,qídǎo,"prayer, supplication"
神,shén,"spirit, god"
神,shén,divine; spirit
神明,shénmíng,spirits
神機,shénjī,"lit. the divine pivot, the mind, inspiration, intuition; fate"
神解,shénjiě,divine understanding
神通,shéntōng,"lit. “divine perspicacity”; Skt. abhijñā, divine powers, supernormal powers, supernormal cognitions."
神通,shéntōng,lit. divine penetration; supernormal powers (Skt. abhijñā)
視,shì,"to see, to view"
禁呪,jìnzhòu,"spell, incantation"
禁戒,jìnjiè,Precepts; regulations
禍,huò,"disaster, catastrophe"
福會,fúhuì,"“blessed gathering,” “gathering for the bestowal of fortune”"
福舍,fúshè (<>fúshě),"the “house of blessings,” sanctuary, asylum"
禮拜,lǐbài,to bow to; to worship; to prostrate; to treat with decorum
禱,dǎo,to pray
禹,Yǔ,(name of sage king)
萬,wàn,ten thousand
萬歲通天,Wànsuì tōngtiān,"(era name, 696-697)"
萬端,wànduān,lit. ten thousand tips; all manner of
秀,Xiù,(monk's name: 神秀)
科,kē,rank
秦,Qín,(dynasty)
秦皇,Qín huáng,Emperor Qin
移性,yíxìng,to adjust one’s nature
稟,bǐng,"to receive, to grasp"
種子,zhǒngzǐ,seeds
稱,chèn (<>chēng),"to meet, to match, to be in accord with; matching, appropriate"
稻田,dàotián,rice field
積聚,jījù,to amass; accumulation
空劫,kōngjié,the empty kalpa
窈冥,yǎomīng (§§yǎomíng),dark; distant
窓隙,chuāngxì,"crack in the window, gap in the window"
窟,kū,grotto
窮究,qióngjiū,"to master, to thoroughly investigate"
窮通,qióngtōng,"complete, comprehensive"
立,lì,to stand; to perch
竝,bìng,"together, at the same time"
竪起,shùqǐ,"to raise, to hold up"
端身,duānshēn,"upright posture, erect posture"
競,jìng,compete
競,jìng,to compete
竺佛念,Zhú Fóniàn,Name of monk
竺昌蒲,Zhú Chāngpú,(person's name)
竺法濟,Zhú Fǎjì,(name of monk)
符,fú,to match
符丕,Fú Pī,(person's name)
符堅,Fú Jiān,(name)
符登,Yáo Dēng (<>fúdēng),(person's name)
第一座,dìyízuò (<>dìyīzuò),(monastic title) First Seat
等,děng,"(1) plural marker; (2) part of compound 平等: equal, equanimity"
等級,děngjí,"tier, level"
筋脉,jīnmò (<>jīnmài),sinews
答,dá,"to answer, to reply"
策發,cèfā,"to stimulate, to inspire"
箇,gè,"(a measure word equivalent to 個, but in Chan texts is often part of a colloquial expression, as here)"
箏笛,zhēngdí,zither and flute
算數,suànshù,"calculations, fortune-telling"
算計,suànjì,"calculations, reckoning; accounting"
箜篌,kōnghóu,"lyre, harp"
篆銘,zhuànmíng,seal-script inscription
篋,qiè,"case, chest"
築,zhù (<>zhú),"hit, strike, beat"
篤好,dǔhào (<>dǔhǎo),"delight in, to have a passion for"
篤性,dǔxìng,"honest nature, pure nature"
篼,dōu,"basket, trough"
簡視,jiǎnshì,to examine
簡衷,jiǎnzhōng,"upright, correct"
